bp,m_chi_GeV,m_phi_MeV,alpha,lambda,kappa,v_km_s,sigma_maj,sigma_dir,R,n_resonances,res_even,res_odd,dominant_l,n_partialwaves
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.34413805452600477,72.39974360004953,3.5873092066811973,3.503875543971551,1.0238118225555113,0,0,0,0,18
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.3923766725950886,82.54818122236567,3.4517652224389415,3.307735115557226,1.0435434222662814,0,0,0,0,20
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.44737700806976416,94.1191485533916,3.322468682798219,3.096268759919477,1.0730556487236673,0,0,0,0,23
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.5100868663412971,107.31204483540202,3.1992681424371985,2.87309903178975,1.113525189016637,0,0,0,0,23
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.5815869088500639,122.35421955844241,3.0772206237243047,2.6418171643677275,1.164812109342466,0,0,0,0,23
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.6631092758217676,139.50489031047482,2.948135995664406,2.405969623958033,1.2253421515831366,0,0,0,0,23
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.7560588193951764,159.0596098015386,2.803361267276001,2.1691392398941973,1.2923841935627602,0,0,0,0,23
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.8620373130459286,181.3553590409013,2.6366262837916317,1.9349746829682675,1.362615390784868,0,0,0,0,23
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.9828710545006378,206.7763544364993,2.445879656452254,1.7071090297910758,1.4327612435812564,0,0,0,0,23
BP16,14.384,5.047,0.0007555,2.1531824846443435,1.1206423378145873,235.7606688887855,2.2336470137224222,1.4889953772892903,1.5001033903736942,0,0,0,0,24
BP16,14.384,5.047,0.0007555,2.1531824846443435,1.2777253369625303,268.80778097844393,2.0061225796108832,1.2837181596738898,1.5627437880293833,0,0,0,0,24
BP16,14.384,5.047,0.0007555,2.1531824846443435,1.4568270193144581,306.48718234100744,1.7715926579772918,1.0938256584429664,1.619629823366102,0,0,0,0,24
BP16,14.384,5.047,0.0007555,2.1531824846443435,1.6610337940468403,349.4481915568608,1.538799611706558,0.9212061922202517,1.6704182241739054,0,0,0,0,24
BP16,14.384,5.047,0.0007555,2.1531824846443435,1.8938646993683328,398.43114367664646,1.3156414465919761,0.7670165398320179,1.715271285910094,0,0,0,0,24
BP16,14.384,5.047,0.0007555,2.1531824846443435,2.1593320451205473,454.28014820803486,1.108351153469045,0.6316662131273186,1.7546468853885742,0,0,0,0,25
BP16,14.384,5.047,0.0007555,2.1531824846443435,2.462010555790843,517.957635418675,0.92114878732286,0.5148591244964911,1.7891278283621792,0,0,0,0,25
BP16,14.384,5.047,0.0007555,2.1531824846443435,2.8071162054593337,590.560941627693,0.756266245814093,0.4156870606480832,1.8193163016309062,0,0,0,0,25
BP16,14.384,5.047,0.0007555,2.1531824846443435,3.200596103220702,673.341219295428,0.6142055884360528,0.332768366729277,1.8457451183625828,0,0,0,0,26
BP16,14.384,5.047,0.0007555,2.1531824846443435,3.649230978051132,767.7249977836887,0.49413875706763977,0.264405085268786,1.8688700959185929,0,0,0,0,26
BP16,14.384,5.047,0.0007555,2.1531824846443435,4.16075202921339,875.3387663370785,0.3943314669416548,0.20874494109633962,1.889058795248425,0,0,0,0,27
BP16,14.384,5.047,0.0007555,2.1531824846443435,4.743974155850431,998.0370029170341,0.31253246040042315,0.16391828221635046,1.9066357710357262,0,0,0,1,27
BP16,14.384,5.047,0.0007555,2.1531824846443435,5.408947861675752,1137.934131901617,0.2462869326480578,0.12815037252156775,1.9218588896931035,0,0,0,1,28
BP16,14.384,5.047,0.0007555,2.1531824846443435,6.167132452491604,1297.440961369174,0.1931617572666649,0.09982923987940176,1.9349216472048976,0,0,0,1,29
BP16,14.384,5.047,0.0007555,2.1531824846443435,7.031593511199411,1479.306227879371,0.15091141485266787,0.07754335769341078,1.9461552780489348,0,0,0,1,30
BP16,14.384,5.047,0.0007555,2.1531824846443435,8.017228053333914,1686.6639646811807,0.11751120391099908,0.060091838423507314,1.9555268567890893,0,0,0,1,31
BP16,14.384,5.047,0.0007555,2.1531824846443435,9.141021243163477,1923.0875096309128,0.09126577029013773,0.04647626991644205,1.9637068649059197,0,0,0,1,32
BP16,14.384,5.047,0.0007555,2.1531824846443435,10.422339094273212,2192.6510835236145,0.07068747049251349,0.03588178774904894,1.9700097159843182,0,0,0,1,33
BP16,14.384,5.047,0.0007555,2.1531824846443435,11.883262198658162,2499.9999999999995,0.05464623857348722,0.027653181014837866,1.976128480270161,0,0,0,1,34
MAP,98.19,9.66,0.003274,33.27888819875776,0.25429082692163474,15.000000000000004,1.270723147285205,1.1655085475044826,1.0902735548409332,0,0,0,0,13
MAP,98.19,9.66,0.003274,33.27888819875776,0.2899353536370531,17.10258430161952,1.331173356260503,1.1315835818836413,1.1763809386882613,0,0,0,0,15
MAP,98.19,9.66,0.003274,33.27888819875776,0.3305762551731709,19.49989265293348,1.4294520978626548,1.1022291803567128,1.2968737566900954,0,0,0,0,17
