bp,m_chi_GeV,m_phi_MeV,alpha,lambda,v_km_s,sigma_m_maj,sigma_m_dir,R_v,kappa,regime
MAP,98.19,9.66,0.003274,33.27888819875776,180,0.8410972627491049,0.4296818385798825,1.9574885117997274,3.051489923059617,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,190,0.8128581688275667,0.41465509989821303,1.960323577419166,3.2210171410073727,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,200,0.7864946216574035,0.4006091492609556,1.9632467783332708,3.39054435895513,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,225,0.7272681595872975,0.3691585720970761,1.9700698143237234,3.8143624038245205,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,250,0.6756659999328457,0.3420129264618206,1.9755569092745133,4.238180448693911,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,275,0.630110700064797,0.3182927971251304,1.9796574278653298,4.661998493563303,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,300,0.5895469738155158,0.29735408877203223,1.9826429031130441,5.085816538432694,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,325,0.5531886602975367,0.27871113683882415,1.98481003153254,5.509634583302086,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,350,0.5204182321548646,0.2619905867118277,1.9864004989129256,5.933452628171477,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,375,0.49073586683721615,0.2468974226187528,1.9876103267185052,6.357270673040868,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,400,0.4637301561936105,0.23319809545504033,1.9885675107626077,6.78108871791026,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,425,0.43905882818197994,0.22070310334335172,1.989364089271225,7.20490676277965,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,450,0.4164348645164253,0.20925720079320592,1.990062291466655,7.628724807649041,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,475,0.39561598186414965,0.1987317942092931,1.990703014775327,8.052542852518432,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,500,0.376399602909642,0.18901996955772937,1.9913218893767952,8.476360897387822,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,550,0.34208067681127835,0.17168416506965817,1.992499871333413,9.323996987126606,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,600,0.31235041572270655,0.15667225366731105,1.9936549606669571,10.171633076865389,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,650,0.28636062878350454,0.14355478739125443,1.9947828559909806,11.019269166604172,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,700,0.26345740175010074,0.1320020524966932,1.9958583731620434,11.866905256342953,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,750,0.24314512491461557,0.12176307326457828,1.9968707950257376,12.714541346081736,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,800,0.2250215580068144,0.11263674542001768,1.9977633157609311,13.56217743582052,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,850,0.20877681147946625,0.10446219198788002,1.998587311892604,14.4098135255593,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,900,0.19414419359607732,0.09710855886719441,1.9992490452009362,15.257449615298082,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,950,0.1809247307133844,0.09046811716518863,1.9998728434132012,16.105085705036863,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,1000,0.16892289532025384,0.08444607578629479,2.000364063662852,16.952721794775645,semi-class
MAP,98.19,9.66,0.003274,33.27888819875776,1050,0.15800695028916412,0.0789766070269512,2.000680406987393,17.80035788451443,semi-class
