m_chi_GeV,m_phi_MeV,alpha,sigma_m_30,sigma_m_1000
37.275937,3.0413853336e+00,1.7819499836e-04,3.277343,0.01807921
37.275937,3.0413853336e+00,3.6838389083e-04,7.951750,0.07674954
37.275937,3.3955682317e+00,1.9894660133e-04,2.718380,0.01817203
37.275937,3.3955682317e+00,4.1128383930e-04,6.399755,0.07700640
37.275937,3.7909973093e+00,2.2211482111e-04,2.250667,0.01820774
37.275937,3.7909973093e+00,4.5917967826e-04,5.144281,0.07698495
37.275937,4.2324758681e+00,2.4798108350e-04,1.863004,0.01817873
37.275937,4.2324758681e+00,6.2170523585e-04,5.002307,0.11181502
37.275937,4.2324758681e+00,1.1683724126e-03,8.894537,0.37178451
37.275937,4.7253665758e+00,2.7685958760e-04,1.542748,0.01823737
