alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
7.688588e-04,1.804589e-04,4.261,6.5159,0.386333,0.338487,0.353985,0.278742,0.142856,0.035865,0.009827
7.756403e-04,1.788811e-04,4.336,6.5734,0.388989,0.341211,0.357374,0.281690,0.144604,0.036423,0.009995
7.824817e-04,1.773171e-04,4.413,6.6314,0.391655,0.343953,0.360789,0.284658,0.146368,0.036990,0.010165
7.893834e-04,1.757668e-04,4.491,6.6898,0.394332,0.346714,0.364231,0.287648,0.148146,0.037564,0.010338
7.963460e-04,1.742300e-04,4.571,6.7489,0.397019,0.349492,0.367699,0.290660,0.149939,0.038146,0.010514
8.033700e-04,1.727067e-04,4.652,6.8084,0.399717,0.352288,0.371193,0.293693,0.151747,0.038736,0.010693
8.104560e-04,1.711967e-04,4.734,6.8684,0.402425,0.355103,0.374714,0.296747,0.153569,0.039334,0.010875
8.176044e-04,1.696999e-04,4.818,6.9290,0.405144,0.357937,0.378262,0.299823,0.155407,0.039939,0.011059
8.248159e-04,1.682162e-04,4.903,6.9901,0.407873,0.360789,0.381836,0.302920,0.157259,0.040553,0.011247
8.320910e-04,1.667455e-04,4.990,7.0518,0.410614,0.363659,0.385438,0.306039,0.159126,0.041175,0.011438
8.394303e-04,1.652876e-04,5.079,7.1140,0.413364,0.366549,0.389067,0.309179,0.161008,0.041805,0.011632
8.468343e-04,1.638424e-04,5.169,7.1767,0.416125,0.369458,0.392723,0.312340,0.162904,0.042444,0.011829
8.543037e-04,1.624099e-04,5.260,7.2400,0.418897,0.372386,0.396406,0.315523,0.164815,0.043091,0.012029
8.618389e-04,1.609900e-04,5.353,7.3039,0.421679,0.375333,0.400117,0.318727,0.166740,0.043746,0.012232
8.694405e-04,1.595824e-04,5.448,7.3683,0.424472,0.378300,0.403855,0.321952,0.168681,0.044410,0.012439
8.771092e-04,1.581871e-04,5.545,7.4333,0.427276,0.381286,0.407621,0.325198,0.170635,0.045082,0.012649
8.848456e-04,1.568041e-04,5.643,7.4989,0.430090,0.384292,0.411415,0.328466,0.172604,0.045763,0.012862
8.926502e-04,1.554331e-04,5.743,7.5650,0.432915,0.387318,0.415236,0.331754,0.174588,0.046452,0.013079
9.005236e-04,1.540741e-04,5.845,7.6317,0.435750,0.390363,0.419086,0.335064,0.176585,0.047151,0.013299
9.084665e-04,1.527270e-04,5.948,7.6990,0.438596,0.393429,0.422964,0.338395,0.178597,0.047858,0.013523
9.164794e-04,1.513917e-04,6.054,7.7670,0.441452,0.396516,0.426870,0.341747,0.180624,0.048574,0.013750
9.245631e-04,1.500681e-04,6.161,7.8355,0.444319,0.399622,0.430805,0.345120,0.182664,0.049299,0.013981
9.327180e-04,1.487560e-04,6.270,7.9046,0.447197,0.402750,0.434768,0.348514,0.184718,0.050033,0.014216
9.409448e-04,1.474554e-04,6.381,7.9743,0.450085,0.405898,0.438760,0.351928,0.186787,0.050776,0.014454
9.492442e-04,1.461662e-04,6.494,8.0446,0.452983,0.409067,0.442780,0.355363,0.188869,0.051528,0.014696
9.576168e-04,1.448882e-04,6.609,8.1156,0.455893,0.412256,0.446830,0.358819,0.190966,0.052289,0.014942
9.660633e-04,1.436214e-04,6.726,8.1872,0.458812,0.415468,0.450908,0.362296,0.193075,0.053060,0.015192
9.745842e-04,1.423657e-04,6.846,8.2594,0.461743,0.418700,0.455015,0.365793,0.195199,0.053840,0.015445
9.831803e-04,1.411210e-04,6.967,8.3322,0.464684,0.421954,0.459151,0.369311,0.197336,0.054629,0.015703
9.918523e-04,1.398872e-04,7.090,8.4057,0.467635,0.425229,0.463317,0.372849,0.199487,0.055428,0.015965
1.000601e-03,1.386641e-04,7.216,8.4799,0.470598,0.428527,0.467511,0.376407,0.201651,0.056236,0.016231
1.009426e-03,1.374517e-04,7.344,8.5547,0.473570,0.431846,0.471736,0.379986,0.203828,0.057054,0.016501
1.018330e-03,1.362500e-04,7.474,8.6301,0.476554,0.435188,0.475989,0.383585,0.206019,0.057881,0.016775
1.027312e-03,1.350587e-04,7.606,8.7062,0.479548,0.438563,0.480273,0.387203,0.208222,0.058718,0.017053
1.036373e-03,1.338779e-04,7.741,8.7830,0.482552,0.441949,0.484586,0.390842,0.210439,0.059564,0.017336
1.045514e-03,1.327074e-04,7.878,8.8605,0.485567,0.445358,0.488928,0.394501,0.212668,0.060421,0.017623
1.054736e-03,1.315471e-04,8.018,8.9386,0.488593,0.448789,0.493301,0.398179,0.214910,0.061287,0.017915
1.064039e-03,1.303969e-04,8.160,9.0175,0.491629,0.452244,0.497703,0.401877,0.217165,0.062163,0.018211
1.073424e-03,1.292569e-04,8.305,9.0970,0.494676,0.455721,0.502136,0.405594,0.219432,0.063048,0.018511
1.082892e-03,1.281267e-04,8.452,9.1773,0.497733,0.459222,0.506598,0.409331,0.221711,0.063944,0.018816
1.092443e-03,1.270065e-04,8.601,9.2582,0.500801,0.462746,0.511091,0.413087,0.224003,0.064849,0.019126
1.102079e-03,1.258961e-04,8.754,9.3399,0.503880,0.466294,0.515614,0.416862,0.226306,0.065765,0.019441
1.111800e-03,1.247953e-04,8.909,9.4223,0.506969,0.469866,0.520167,0.420656,0.228622,0.066690,0.019760
