v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
324.3050,2.802380e-01,-0.6755,6.867970e-01,-0.6676
329.1624,2.774099e-01,-0.6891,6.799889e-01,-0.6725
334.0926,2.745547e-01,-0.7028,6.731997e-01,-0.6771
339.0966,2.716733e-01,-0.7166,6.664349e-01,-0.6819
344.1756,2.687668e-01,-0.7305,6.596882e-01,-0.6868
349.3306,2.658361e-01,-0.7445,6.529642e-01,-0.6914
354.5629,2.628825e-01,-0.7586,6.462643e-01,-0.6960
359.8735,2.599070e-01,-0.7728,6.395893e-01,-0.7004
365.2637,2.569108e-01,-0.7870,6.329447e-01,-0.7049
370.7346,2.538953e-01,-0.8014,6.263236e-01,-0.7096
376.2875,2.508616e-01,-0.8157,6.197304e-01,-0.7141
381.9235,2.478112e-01,-0.8301,6.131659e-01,-0.7183
387.6439,2.447454e-01,-0.8446,6.066349e-01,-0.7227
393.4500,2.416655e-01,-0.8591,6.001309e-01,-0.7273
399.3431,2.385730e-01,-0.8736,5.936579e-01,-0.7316
405.3244,2.354693e-01,-0.8881,5.872164e-01,-0.7358
411.3954,2.323558e-01,-0.9026,5.808107e-01,-0.7401
417.5572,2.292340e-01,-0.9171,5.744346e-01,-0.7447
423.8114,2.261053e-01,-0.9316,5.680915e-01,-0.7491
430.1592,2.229712e-01,-0.9461,5.617821e-01,-0.7534
436.6021,2.198333e-01,-0.9606,5.555065e-01,-0.7576
443.1415,2.166929e-01,-0.9750,5.492694e-01,-0.7619
449.7789,2.135516e-01,-0.9894,5.430634e-01,-0.7665
456.5157,2.104108e-01,-1.0038,5.368922e-01,-0.7709
463.3533,2.072719e-01,-1.0181,5.307562e-01,-0.7751
470.2934,2.041364e-01,-1.0324,5.246598e-01,-0.7795
477.3375,2.010057e-01,-1.0467,5.185954e-01,-0.7843
484.4870,1.978813e-01,-1.0608,5.125669e-01,-0.7885
491.7436,1.947645e-01,-1.0749,5.065780e-01,-0.7930
499.1089,1.916567e-01,-1.0890,5.006221e-01,-0.7978
506.5846,1.885592e-01,-1.1029,4.947026e-01,-0.8024
514.1722,1.854733e-01,-1.1168,4.888194e-01,-0.8068
521.8734,1.824004e-01,-1.1306,4.829766e-01,-0.8114
529.6900,1.793417e-01,-1.1444,4.771672e-01,-0.8163
537.6237,1.762984e-01,-1.1580,4.713945e-01,-0.8208
545.6762,1.732718e-01,-1.1715,4.656621e-01,-0.8256
553.8493,1.702629e-01,-1.1850,4.599637e-01,-0.8306
562.1448,1.672729e-01,-1.1983,4.543022e-01,-0.8355
570.5646,1.643031e-01,-1.2116,4.486777e-01,-0.8401
579.1105,1.613542e-01,-1.2247,4.430942e-01,-0.8450
587.7844,1.584274e-01,-1.2378,4.375445e-01,-0.8503
596.5882,1.555236e-01,-1.2507,4.320321e-01,-0.8551
605.5239,1.526438e-01,-1.2635,4.265606e-01,-0.8601
614.5934,1.497890e-01,-1.2763,4.211233e-01,-0.8655
623.7988,1.469598e-01,-1.2889,4.157234e-01,-0.8704
633.1420,1.441573e-01,-1.3013,4.103645e-01,-0.8756
642.6252,1.413821e-01,-1.3137,4.050401e-01,-0.8811
652.2504,1.386350e-01,-1.3259,3.997533e-01,-0.8861
662.0198,1.359166e-01,-1.3380,3.945075e-01,-0.8915
671.9355,1.332277e-01,-1.3500,3.892964e-01,-0.8969
681.9997,1.305689e-01,-1.3619,3.841262e-01,-0.9023
692.2146,1.279406e-01,-1.3736,3.789911e-01,-0.9080
702.5826,1.253436e-01,-1.3851,3.738939e-01,-0.9133
713.1059,1.227784e-01,-1.3966,3.688377e-01,-0.9189
723.7867,1.202451e-01,-1.4080,3.638168e-01,-0.9248
734.6276,1.177444e-01,-1.4192,3.588339e-01,-0.9302
745.6308,1.152767e-01,-1.4302,3.538924e-01,-0.9359
756.7988,1.128422e-01,-1.4412,3.489862e-01,-0.9417
768.1341,1.104413e-01,-1.4520,3.441211e-01,-0.9475
779.6392,1.080742e-01,-1.4626,3.392918e-01,-0.9533
791.3166,1.057412e-01,-1.4731,3.345035e-01,-0.9592
803.1689,1.034425e-01,-1.4835,3.297513e-01,-0.9655
815.1987,1.011783e-01,-1.4938,3.250375e-01,-0.9712
827.4087,9.894862e-02,-1.5039,3.203650e-01,-0.9773
839.8016,9.675367e-02,-1.5137,3.157286e-01,-0.9834
852.3802,9.459375e-02,-1.5236,3.111334e-01,-0.9895
865.1471,9.246843e-02,-1.5333,3.065746e-01,-0.9957
878.1052,9.037794e-02,-1.5429,3.020569e-01,-1.0020
891.2574,8.832228e-02,-1.5523,2.975757e-01,-1.0083
904.6066,8.630139e-02,-1.5615,2.931356e-01,-1.0146
